name,title,url,headshot_image_url,date_updated,department,research_interests,personal_site
Daniel Lansberg-Rodriguez,Adjunct Lecturer of Finance,http://www.kellogg.northwestern.edu/faculty/directory/lansberg-rodriguez_daniel.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Lansberg-Rodriguez_Daniel 02192018.ashx,20180327,FINANCE,"Lansberg, Ivan and Daniel Lansberg-Rodriguez. 1988. La Empresa debe Continuar: Un caso de Transicion en un Consorcio Familiar. Caracas: Ediciones IESA.",
Daniel Martin,Assistant Professor of Managerial Economics & Decision Sciences,http://www.kellogg.northwestern.edu/faculty/directory/martin_daniel.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Martin_Daniel_072914.ashx,20180327,MANAGERIAL ECONOMICS & DECISION SCIENCES,Inattention and PerceptionInformation Disclosure,http://www.martinonline.org/daniel
Daniel Spulber,,http://www.kellogg.northwestern.edu/faculty/directory/spulber_daniel.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Spulber_Daniel_111416.ashx,20180327,STRATEGY,"Antitrust, Innovation Economics, Microeconomics, Theory of the Firm, Entrepreneurship, Industrial Organization, International Economics, Law and Economics, Management Strategy.",http://www.kellogg.northwestern.edu/faculty/spulber/htm/homepage.html
Danqi Hu,Assistant Professor of Accounting Information & Management,http://www.kellogg.northwestern.edu/faculty/directory/hu_danqi.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Hu_Danqi_090716.ashx,20180327,ACCOUNTING INFORMATION & MANAGEMENT,"Voluntary Disclosure, the Effect of Market Transparency on Disclosure and Real Efficiency, Short-Selling Activities and Short Campaigns, Auditing",http://www.hudanqi.com
Dashun Wang,,http://www.kellogg.northwestern.edu/faculty/directory/wang_dashun.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Wang_Dashun_082916.ashx,20180327,MANAGEMENT & ORGANIZATIONS,"Computational Social Science, Science of Science, Big Data, Social Networks",http://dashunwang.com/
Dave Cocagne,Adjunct Lecturer of Real Estate,http://www.kellogg.northwestern.edu/faculty/directory/cocagne_dave.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Cocagne_David_020215.ashx,20180327,FINANCE,,
David A. Matsa,Associate Professor of Finance,http://www.kellogg.northwestern.edu/faculty/directory/matsa_david_a.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/matsa_d.ashx,20180327,FINANCE,"Corporate Finance, Labor Economics, Industrial Organization, Regulation",http://www.kellogg.northwestern.edu/faculty/matsa/htm/research.htm
David Austen-Smith,,http://www.kellogg.northwestern.edu/faculty/directory/austen-smith_david.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/austen smith_d.ashx,20180327,MANAGERIAL ECONOMICS & DECISION SCIENCES,"Political economy, social choice and welfare, deliberation, income distribution",http://www.kellogg.northwestern.edu/faculty/austen-smith/dasm/index.html
David Besanko,IBM Professor of Regulation & Competitive Practices,http://www.kellogg.northwestern.edu/faculty/directory/besanko_david.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Besanko_David_RGB14.ashx,20180327,STRATEGY,Industrial economics; competitive strategy; public policy economics,http://www.kellogg.northwestern.edu/faculty/besanko/htm/research.htm
David Chen,,http://www.kellogg.northwestern.edu/faculty/directory/chen_david.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Chen_Dave.ashx,20180327,FINANCE,,
David Dana,,http://www.kellogg.northwestern.edu/faculty/directory/dana_david.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/dana_d.ashx,20180327,STRATEGY,,http://www.law.northwestern.edu/faculty/profiles/DavidDana/
David Dranove,,http://www.kellogg.northwestern.edu/faculty/directory/dranove_david.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/dranove_david.ashx,20180327,STRATEGY,"Industrial organization and the economics of information, business strategy, medical economics, health services policy analysis",http://coderedblog.com/
David Marshall,Adjunct Professor of Finance,http://www.kellogg.northwestern.edu/faculty/directory/marshall_david.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Marshall_David_101515.ashx,20180327,FINANCE,,
David Messick,Professor Emeritus of Management & Organizations,http://www.kellogg.northwestern.edu/faculty/directory/messick_david_m.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/messick_d.ashx,20180327,MANAGEMENT & ORGANIZATIONS,"Wade-Benzoni, Kimberly A., Morela Hernandez, Victoria Medvec and David Messick. 2008. In Fairness to Future Generations: The Role of Egocentrism, Uncertainty, Power, and Stewardship in Judgments of Intergenerational Allocations. Journal of Experimental Social Psychology. 44(2): 233-245.",
David S. Friedman,,http://www.kellogg.northwestern.edu/faculty/directory/friedman_david.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Friedman_David_51215.ashx,20180327,EXECUTIVE EDUCATION,"Friedman, David S., Brian Vannoni and Anthony Goland. ""Achieving World-Class Claims Performance Using Innovative Supply Chain Management."" McKinsey Property-Casualty Insurance Annual.",
David Schonthal,Clinical Associate Professor of Innovation & Entrepreneurship,http://www.kellogg.northwestern.edu/faculty/directory/schonthal_david.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Schonthal_David_012815.ashx,20180327,INNOVATION & ENTREPRENEURSHIP,"Thompson, Leigh and David Schonthal. Forthcoming. Creativity and Innovation: How business can inform research. California Management Review.",
David Stowell,Clinical Professor of Finance,http://www.kellogg.northwestern.edu/faculty/directory/stowell_david.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/stowell_d.ashx,20180327,FINANCE,"Stowell, David. 2017. Investment Banks, Hedge Funds and Private Equity. London: Elsevier, Academic Press, 3rd ed.The world of finance dramatically changed following the global financial meltdown of 2007-09, and this change has continued following Brexit in 2016 and the new administration that took over in the United States during 2017. These significant events have caused governments and financial industry to look again at investment banks, hedge funds, and private equity through a new lens. Market participants have been significantly impacted, and attitudes toward risk, transparency, regulation, and compensation have changed. Investment banks, hedge funds, and private equity firms are at the epicenter of a transformed financial landscape, forging new roles and seeking new ways to create value within a paradigm of lower risk and greater regulation. This book provides an overview of investment banks, hedge funds, and private equity firms and describes the relationships between these organizations: how they both compete with and provide important services to each other, and the significant impact they have on corporations, governments, institutional investors, and individuals. Together, they have reshaped global financing and investing patterns, attracting envy and awe, but also criticism and concern. They dominate the headlines of the financial press and create wealth for many of their managers and investing clients. This book enables readers to better understand these heavily interconnected organizations, their impact on the global financial market, historical development, principal activities, regulatory environment, and risks and opportunities. Ultimately, the objective of this book is to demystify investment banks, hedge funds, and private equity firms, revealing their key functions, compensation systems, unique role in wealth creation and risk management and their epic battle for investor funds, and corporate influence. After reading this book, the reader should better understand financial press headlines that herald massive corporate takeovers, corporate shareholder activism, large capital market financings and the myriad strategies, risks, and conflicts in the financial market landscape. The inclusion of case studies and spreadsheet models provides an analytical framework that allows the reader to apply the book's lessons to real-world financing, investing, and advisory activities.",
Dean DeBiase,Adjunct Lecturer of Innovation & Entrepreneurship,http://www.kellogg.northwestern.edu/faculty/directory/debiase_dean.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/DeBiase_Dean_012814.ashx,20180327,INNOVATION & ENTREPRENEURSHIP,"DeBiase, Dean. 2014. ""Essays: Leadership Entrepreneurial Innovation."" In Innovation Alchemists.",http://www.linkedin.com/in/deandebiase/
Dean Karlan,,http://www.kellogg.northwestern.edu/faculty/directory/karlan_dean.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Karlan_ Dean 05162017_cropped.ashx,20180327,FINANCE,,https://karlan.yale.edu
Deepak Chopra,Adjunct Professor of Executive Education,http://www.kellogg.northwestern.edu/faculty/directory/chopra_deepak.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Chopra_Deepak_090415.ashx,20180327,EXECUTIVE EDUCATION,,http://www.choprafoundation.org
Derek D. Rucker,,http://www.kellogg.northwestern.edu/faculty/directory/rucker_derek_d.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/rucker_d.ashx,20180327,MARKETING,"Psychology of conviction (consumer certainty and power), emotions, attribution, and statistical methodology",
Devin DeCiantis,Adjunct Lecturer of Family Enterprise,http://www.kellogg.northwestern.edu/faculty/directory/deciantis_devin.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/DeCiantis_Devin_070616.ashx,20180327,INNOVATION & ENTREPRENEURSHIP,Lead Researcher on Kellogg-sponsored grant to explore family businesses that survive and thrive in high risk environments.,
Diana Cordova,Clinical Professor of Executive Education and Academic Director of the Kellogg Executive Leadership Institute (KELI),http://www.kellogg.northwestern.edu/faculty/directory/cordova_diana.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Cordova_Diana_120116.ashx,20180327,EXECUTIVE EDUCATION,"Cordova, Diana, P.D. Eckel and B.P. White. 2008. Broadening the Leadership Spectrum:  Advancing Diversity in the American College Presidency. American Council on Education.",
Diane D Brink,Senior Fellow and Adjunct Professor within the Kellogg Markets & Customers Initiative,http://www.kellogg.northwestern.edu/faculty/directory/brink_diane.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Brink_Diane 04202017_cropped.ashx,20180327,MARKETS & CUSTOMERS,,
Dimitris Papanikolaou,Associate Professor of Finance,http://www.kellogg.northwestern.edu/faculty/directory/papanikolaou_dimitris.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Papanikolaou_Dimitris_110816.ashx,20180327,FINANCE,"Asset pricing, macroeconomics",http://www.kellogg.northwestern.edu/faculty/papanikolaou/htm/index.html
Donald Dale,Clinical Associate Professor of Managerial Economics & Decision Sciences,http://www.kellogg.northwestern.edu/faculty/directory/dale_donald.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Dale_Donald_121415.ashx,20180327,MANAGERIAL ECONOMICS & DECISION SCIENCES,"Dale, Donald and Barry Rabe. 2015. Individual Discount Rates and Climate Change: Is Discount Rate Associated With Support for a Carbon Tax?. Climate Change EConomics. 6(4)The issue of climate change is often framed as one in which contemporary actions, often with affixed costs, are necessary in order to prevent even greater costs being paid during a period in the future. Under such a framework it is thus necessary to calculate the rate in which future benefits are discounted to reflect current values. In this paper we examine how individual level discount rates affect their support for a policy tool that incurs contemporary costs in an effort to prevent future environmental damages. We find that individuals with higher discount rates are significantly less likely to support the imposition of a carbon tax in comparison with individuals that have lower discount rates. Even when controlling for other individual level attributes such as party affiliation a person’s rate for discounting the future is shown to be a strong predictor of their support for a carbon tax.",
Donald Haider,Professor Emeritus of Strategy,http://www.kellogg.northwestern.edu/faculty/directory/haider_donald.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Haider_Donald_RGB14.ashx,20180327,STRATEGY,"Nonprofit mergers and alliances, public finance and management, economic development",
Donald Jacobs,,http://www.kellogg.northwestern.edu/faculty/directory/jacobs_donald.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/jacobs_d.ashx,20180327,FINANCE,"Banking, capital markets, monetary policy, corporate finance, international finance",
Douglas Conant,,http://www.kellogg.northwestern.edu/faculty/directory/conant_douglas.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Conant_Douglas_010314.ashx,20180327,EXECUTIVE EDUCATION,,
Dylan Minor,Assistant Professor of Managerial Economics & Decision Sciences,http://www.kellogg.northwestern.edu/faculty/directory/minor_dylan.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/minor_d.ashx,20180327,MANAGERIAL ECONOMICS & DECISION SCIENCES,"Applications: Business and Society, Incentives in Organizations, Corporate Governance and Corruption  Methods: Game Theory, Auctions, Experimental Economics and Applied Econometrics",http://www.dylanminor.com
Edward (Ned) Smith,,http://www.kellogg.northwestern.edu/faculty/directory/smith_edward.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Smith_Ned_0913.ashx,20180327,MANAGEMENT & ORGANIZATIONS,"Decision Making, Social Networks, Organizational and Group Structure and Relationships, Market Emergence, Creativity and Innovation, Social Structure of Organizations and Markets",http://www.ned-smith.com
Edward F.X. Hughes,,http://www.kellogg.northwestern.edu/faculty/directory/hughes_edward.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Hughes_Edward13_RGB-v2.ashx,20180327,STRATEGY,"Health policy; health management; managed care; physician behavior; physician-hospital relations; health delivery systems; economics and quality of health care; pharmaceutical, biotechnology, and medical device industries; leadership",
Edward Zajac,James F. Bere Professor of Management & Organizations,http://www.kellogg.northwestern.edu/faculty/directory/zajac_edward.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/zajac_edward_2012.ashx,20180327,MANAGEMENT & ORGANIZATIONS,"Strategic management issues, particularly the integration of economic and behavioral perspectives on:  (1) strategic alliances, (2) corporate governance, and (3) organizational adaptation to environmental change.",
Edwin Mills,Professor Emeritus of Real Estate and Finance,http://www.kellogg.northwestern.edu/faculty/directory/mills_edwin.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/mills_e.ashx,20180327,FINANCE,"Mills, Edwin. 2006. Industrialisation Urbanisation and Poverty. New Delhi: Academic Foundation, pp. 159-184, India: Industrialisation in a Reforming Economy, Essays for K. L. Krishna (Suresh Tendulkar, Arup Mitra, K. Narayanan and Deb Kusum Das, editors).",
Efraim Benmelech,,http://www.kellogg.northwestern.edu/faculty/directory/benmelech_efraim.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Benmelech_Efraim_092414_repost.ashx,20180327,FINANCE,"Applied Corporate Finance, Banking, Bankruptcy, Financial Contracting",http://www.kellogg.northwestern.edu/faculty/benmelech/html/index.html
Ehud Kalai,,http://www.kellogg.northwestern.edu/faculty/directory/kalai_ehud.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Kalai_Ehud_PS_73015.ashx,20180327,MANAGERIAL ECONOMICS & DECISION SCIENCES,"Game theory, mathematical economics",http://www.kellogg.northwestern.edu/faculty/kalai/htm/personal_page/index.htm
Elena Prager,Assistant Professor of Strategy,http://www.kellogg.northwestern.edu/faculty/directory/prager_elena.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Prager_Elena 06282017_cropped.ashx,20180327,STRATEGY,"Prager, Elena. 2018. Consumer Responsiveness to Simple Health Care Prices: Evidence From Tiered Hospital Networks.This paper shows that consumers price-shop for complex health care when they can easily assess out-of-pocket prices. Health care cost containment efforts increasingly incentivize price-shopping, despite a dearth of evidence that this steers consumers toward lower-priced care for major medical services. I show that consumers price-shop in the highly simplified price information environment of health insurance plans with tiered hospital networks. These consumers observe a single predictable, well-defined price that applies to a broad range of services within each of at most three tiers of hospitals. The savings from price-shopping are large enough to both compensate for consumer welfare losses and raise insurer profits.",https://sites.google.com/view/eprager
Eli J. Finkel,,http://www.kellogg.northwestern.edu/faculty/directory/finkel_eli.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Finkel_Eli_0187_070617_Headshot.ashx,20180327,MANAGEMENT & ORGANIZATIONS,"1. Initial Romantic Attraction: What predicts interpersonal attraction? Do people really know what characteristics they desire in a romantic partner? How do dating innovations like speed-dating and online dating influence the romantic initiation process?2. Interpersonal Conflict: When do people forgive transgressions? What are the consequences of forgiving? When does conflict escalate to the point of violence? Can we intervene to ameliorate the adverse effects of conflict in marriage?3. Self-Control: When and how do interpersonal processes bring out the best vs. the worst in us? What types of social interaction cause us to feel energized versus exhausted? How do self-control processes influence relationship functioning and eating behavior?For a full list of publications, see Finkel's website. Here's a sampling of recent publications.",http://elifinkel.com/
Elizabeth (Betsy) Ziegler,,http://www.kellogg.northwestern.edu/faculty/directory/ziegler_elizabeth.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Ziegler_Elizabeth 04252017_cropped.ashx,20180327,EXECUTIVE EDUCATION,,
Elizabeth J. Durango-Cohen,Visiting Associate Professor of Operations Management,http://www.kellogg.northwestern.edu/faculty/directory/durango-cohen_elizabeth_j.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Durango-Cohen_Elizabeth_J_031815.ashx,20180327,OPERATIONS,"Durango-Cohen, Elizabeth J. and Candace Yano. 2006. Supplier Commitment and Production Decisions Under a Forecast-Commitment Contract. Management Science. 52(1): 54-67.",
Ellen Taaffe,,http://www.kellogg.northwestern.edu/faculty/directory/taaffe_ellen.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Taaffe_Ellen_091516.ashx,20180327,ARCHITECTURES OF COLLABORATION,"Taaffe, Ellen. ""Snapchat Stumbles Clueless Ad."".",
Emerson Tiller,,http://www.kellogg.northwestern.edu/faculty/directory/tiller_emerson.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/tiller_e.ashx,20180327,STRATEGY,,http://www.law.northwestern.edu/faculty/profiles/EmersonTiller/
Enrichetta Ravina,Visiting Assistant Professor,http://www.kellogg.northwestern.edu/faculty/directory/ravina_enrichetta.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Ravina_Enrichetta 07272017 cropped.ashx,20180327,FINANCE,"Ravina, Enrichetta and Paola Sapienza. 2010. ""What do Independent Directors Know? Evidence from Their Trading"". The Review of Financial Studies. 23(3): 962-1003.We compare the trading performance of independent directors and other officers of the firm. We find that independent directors earn positive and substantial abnormal returns when they purchase their company stock, and that the difference with the same firm s officers is relatively small at most horizons. The results are robust to controlling for firm fixed effects and to using a variety of alternative specifications. Executive officers and independent directors make higher returns in firms with weaker governance and the gap between these two groups widens in such firms. Independent directors who sit in audit committees earn higher return than other independent directors at the same firm. Finally, independent directors earn significantly higher returns than the market when they sell the company stock in a window before bad news and around a restatement announcement.",https://sites.google.com/view/eravina/home
Eran Shmaya,Associate Professor of Managerial Economics & Decision Sciences,http://www.kellogg.northwestern.edu/faculty/directory/shmaya_eran.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Shmaya_Eran_111416.ashx,20180327,MANAGERIAL ECONOMICS & DECISION SCIENCES,"Game theory, probability, information theory, decision theory",https://www.researchgate.net/profile/Eran_Shmaya
Eric Barrette,Adjunct Professor of Health Enterprise Management,http://www.kellogg.northwestern.edu/faculty/directory/barrette_eric.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Barrette_Eric_010417.ashx,20180327,PUBLIC-PRIVATE INTERFACE,"Health Economics, Pharmacoeconomics, Geographic Variation in Health Care Prices and Utilization, Price Transparency, Commercial Claims Data, Medicare Advantage",
Eric Berggren,Adjunct Lecturer of Marketing,http://www.kellogg.northwestern.edu/faculty/directory/berggren_eric.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Berggren_Eric_070616.ashx,20180327,MARKETING,,
Eric Leininger,Clinical Professor of Executive Education,http://www.kellogg.northwestern.edu/faculty/directory/leininger_eric.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Leininger_Eric_120215.ashx,20180327,EXECUTIVE EDUCATION,"Schieffer, Robert and Eric Leininger. 2008. Customers at the Core. Marketing Management.",
Eric T. Anderson,,http://www.kellogg.northwestern.edu/faculty/directory/anderson_eric_t.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/anderson_e.ashx,20180327,MARKETING,"Pricing strategies, channel management, effects of price promotions, sale signs, nine endings and installment billing using large-scale field tests",http://www.kellogg.northwestern.edu/faculty/anderson_e/htm/PersonalPage_Files/PersonalPage.htm
Erika Deserranno,Assistant Professor of Managerial Economics & Decision Sciences,http://www.kellogg.northwestern.edu/faculty/directory/deserranno_erika.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Desserranno_Erika_web_081315.ashx,20180327,MANAGERIAL ECONOMICS & DECISION SCIENCES,"Development Economics, Personnel Economics, Labor Economics",https://sites.google.com/site/erikadeserranno/home
Evan Norton,Adjunct Lecturer of Innovation & Entrepreneurship,http://www.kellogg.northwestern.edu/faculty/directory/norton_evan.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Norton_Evan_111416.ashx,20180327,INNOVATION & ENTREPRENEURSHIP,,
Eyal Maoz,Visiting Professor of Marketing,http://www.kellogg.northwestern.edu/faculty/directory/maoz_eyal.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/maoz_e.ashx,20180327,MARKETING,"Maoz, Eyal and Alice M. Tybout. 2002. Similarity and the Moderating Role of Involvement in the Evaluation of Brand Extensions. Journal of Consumer Psychology. 12(2)",
Filippo Mezzanotti,Assistant Professor of Finance,http://www.kellogg.northwestern.edu/faculty/directory/mezzanotti_filippo.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Mezzanotti_Filippo_090716.ashx,20180327,FINANCE,"Mezzanotti, Filippo. 2017. Roadblock to Innovation: The Role Of Patent Litigation in Corporate R&D.The recent spike in patent litigation raises concerns about the ability of the current intellectual property system to effectively promote innovation. Using a difference-in-difference design around the 2006 Supreme Court decision “eBay vs. MercExchange,” I examine how patent enforcement can reduce the negative effects of litigation on firms’ innovation. This ruling was intended to curb abusive patent lawsuits by providing more flexibility in the way courts remedy patent violations. I estimate the causal impact of the decision by comparing firms that were differentially affected by the shock, measured by exogenous firm-level exposure to patent litigation before 2006. Across a large sample of innovative firms, the decision led to an increase in the quality and quantity of patenting and, for public firms, in R&D investment. Then, I show that patent litigation reduces investment in innovation by lowering the returns from R&D and by exacerbating financing constraints. This evidence confirms that patent litigation plays an important role in hindering innovation, and therefore that adjustments in the enforcement of patent law can have sizable effects on R&D.",http://www.kellogg.northwestern.edu/faculty/mezzanotti/index.html
Florian Zettelmeyer,,http://www.kellogg.northwestern.edu/faculty/directory/zettelmeyer_florian.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/zettlemeyer_f.ashx,20180327,MARKETING,"Marketing Analytics, Big Data, marketing implications of consumer search and uncertainty, industrial organization, pricing, Internet, environmental economics",
Frank Limbrock,Research Assistant Professor of Strategy,http://www.kellogg.northwestern.edu/faculty/directory/limbrock_frank.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Limbrock_Frank_13_RGB.ashx,20180327,STRATEGY,Health Economics; Industrial Organization; Applied Econometrics,
Fred Harburg,Clinical Professor of Executive Education,http://www.kellogg.northwestern.edu/faculty/directory/harburg_fred.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Harburg_Fred 03022018 cropped.ashx,20180327,EXECUTIVE EDUCATION,,
Gabriel Vehovsky,Adjunct Lecturer of Innovation & Entrepreneurship,http://www.kellogg.northwestern.edu/faculty/directory/vehovsky_gabriel.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Vehovsky_Gabriel_092314.ashx,20180327,INNOVATION & ENTREPRENEURSHIP,,
Gail Berger,,http://www.kellogg.northwestern.edu/faculty/directory/berger_gail.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Berger_Gail 03132018.ashx,20180327,EXECUTIVE EDUCATION,"Harrington, Brynn, Gail Berger Darlow and Mindy Douthit. 2010. Self Construal and Positioning of CSR Initiatives: Key Factors Influencing Employee Perceptions and Participation. International Journal of Environmental, Cultural, Economic and Social Sustainability. 6(5): 211-226.",
Galen Bodenhausen,,http://www.kellogg.northwestern.edu/faculty/directory/bodenhausen_galen.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/bodenhausen_g.ashx,20180327,MARKETING,Social attitudes and social cognition; the role of implicit and automatic reactions in judgment and choice; influence of emotion on decision making; the impact of social identities and reference groups on attitudes and behavior; psychological implications of social diversity,http://www.psych.northwestern.edu/psych/people/faculty/bodenhausen/
Garrett Johnson,Visiting Assistant Professor of Marketing,http://www.kellogg.northwestern.edu/faculty/directory/johnson_garrett.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Johnson_Garrett_072916.ashx,20180327,MARKETING,"Johnson, Garrett, Randall Lewis and Elmar Nubbemeyer. Forthcoming. Ghost Ads: Improving the Economics of Measuring Online Ad Effectiveness. Journal of Marketing Research.",
George Georgiadis,Assistant Professor of Strategy,http://www.kellogg.northwestern.edu/faculty/directory/georgiadis_george.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Georgiadis_George_091415.ashx,20180327,STRATEGY,"Microeconomic Theory, Organization Economics, Industrial Organization",http://www.kellogg.northwestern.edu/faculty/georgiadis/
Georgy Egorov,Associate Professor of Managerial Economics & Decision Sciences,http://www.kellogg.northwestern.edu/faculty/directory/egorov_georgy.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Egorov_Georgy_111416.ashx,20180327,MANAGERIAL ECONOMICS & DECISION SCIENCES,Political economy; Economic theory; Game theory,http://www.kellogg.northwestern.edu/faculty/egorov/htm/main.html
Gerhard Bette,Adjunct Lecturer of Management & Organizations,http://www.kellogg.northwestern.edu/faculty/directory/bette_gerhard.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/bette_gerhard.ashx,20180327,MANAGEMENT & ORGANIZATIONS,,
Gina Fong,Adjunct Lecturer of Marketing,http://www.kellogg.northwestern.edu/faculty/directory/fong_gina.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Fong_Gina 07192017.ashx,20180327,MARKETING,,
Greg Hanifee,,http://www.kellogg.northwestern.edu/faculty/directory/hanifee_greg.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Hanifee_Greg.ashx,20180327,EXECUTIVE EDUCATION,,
Greg Merkley,Lecturer of Global Initiatives in Management,http://www.kellogg.northwestern.edu/faculty/directory/merkley_greg.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Merkley_Greg.ashx,20180327,MARKETING,"Brown, Jennifer, Craig Garthwaite, Susan Crowe, Charlotte Snyder and Greg Merkley. 2016. Global Aircraft Manufacturing, 2002–2011. Case 5-312-505 (KEL938).At the dawn of the twenty-first century, Boeing and Airbus, the leading manufacturers of large aircraft, were locked in a battle for market share that drove down prices for their new planes. At about the same time, the two industry heavyweights began developing new aircraft families to address the future market needs they each projected.
Aircraft take many years to develop, so by the time the new planes made their inaugural flights, significant changes had occurred in the global environment. First, emerging economies in the Asia-Pacific region and elsewhere were growing rapidly, spawning immediate and long-term demand for more aircraft. At the same time, changes to the market for air travel had created opportunities for new products. These opportunities had not gone unnoticed by potential new entrants, which were positioning themselves to compete against the market leaders.
In October 2007, the Airbus superjumbo A380 made its first flight. The A380 carried more passengers than any other plane in history and had been touted as a solution to increased congestion at global mega-hub airports. Four years later the Boeing 787, a smaller long-range aircraft, was launched to service secondary cities in a point-to-point network.
The case provides students with an opportunity to analyze the profit potential of the global aircraft manufacturing industry in 2002 and in 2011. Students can also identify the actions of participants that weakened or intensified the pressure on profits within the industry.
Audio format (.mp3 file) available with purchase of PDF. Contact cases@kellogg.northwestern.edu for access.",
Gregg Latterman,Adjunct Lecturer of Innovation & Entrepreneurship,http://www.kellogg.northwestern.edu/faculty/directory/latterman_gregg.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/2016-2017- tenure-line/Latterman_Gregg_121316.ashx,20180327,INNOVATION & ENTREPRENEURSHIP,,
Gregory Carpenter,,http://www.kellogg.northwestern.edu/faculty/directory/carpenter_gregory.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/carpenter_g.ashx,20180327,MARKETING,"Marketing strategy, competitive advantage, brand management, strategies for market entry, corporate culture",
